7.18424E+17,Angela_Dg,RT @MaryCoccorese: #societing #unina #InternetofFood @RuralHub https://t.co/KMS3znLi0a,24,31,1,7,80,3,1
7.18425E+17,Gabriella Del Savio,RT @MaryCoccorese: #societing #unina #InternetofFood @RuralHub https://t.co/KMS3znLi0a,40,143,3,7,80,3,1
7.18426E+17,UN CC:Learn,Training course in #Italy - Apply by May14! @ETIFOR @unipd  #UNFAO #climate #agriculture https://t.co/Un86SH27dn https://t.co/QDvslWEpDL,3194,1469,0,15,121,4,2
7.18427E+17,Daniel Zimmer,Climate-Smart #Agriculture Plan: A guide to scaling CSA by @CGIAR https://t.co/hQ1zQJr91u,355,444,1,11,79,1,1
7.18427E+17,Danielzim,https://t.co/d9bDkAWIxZ,4622,1102,0,10,89,2,1
7.18427E+17,Dan Moshenberg,Opportunities for #women in #agriculture value chain https://t.co/3uMX26TsCs via @daily_trust #Nigeria,2062,1531,0,11,92,3,1
7.18427E+17,The Incredible India,Let's look at some of the vital figures that make #agriculture a prime contributor to the https://t.co/s2PGYP2IVX https://t.co/8ZlPdknTgU,10,19,1,18,120,1,2
7.18427E+17,Christine Palumbo RD,RT @TKDeClemente: Day 2: First up Annie Dee discussing #sustainable #agriculture #eatrightIL https://t.co/xlR3pVRfaz,6724,2645,0,13,104,3,1
7.18427E+17,Himanshu Nautiyal,RT @SambhaTiptop: #agriculture #AgricOyo2016 #ugadi2016 #ugadi #HappyUgadi https://t.co/AOY28gItYP,316,159,0,8,91,5,1
7.18427E+17,Emmanuel S Abdulai,RT @opendatacon: New blog post. @godanSec's @anabmap writes on #opendata for #agriculture and #nutrition https://t.co/qhEcGPCl35,1177,372,0,15,114,3,1
7.18427E+17,pina tufano,RT @MaryCoccorese: #societing #unina #InternetofFood @RuralHub https://t.co/KMS3znLi0a,48,95,1,7,80,3,1
7.18428E+17,End MTR,Mad love to this brother. Please support!  https://t.co/eV579l8Cbr,90,570,6,8,58,0,1
7.18428E+17,Lauren O'Malley,https://t.co/UrasQycnAN notices IndianDiplomacy... #nuascannan ,5,5000,0,5,60,1,1
7.68999E+12,abcd,https://t.co/wZi0pekRDJ,58,5,0,5,84,1,2
7.68999E+12,rozey,https://t.co/ODkDJKUJ4s,58,5,0,5,83,1,2
7.18428E+17,Roberto Ciarnelli,RT @MaryCoccorese: #societing #unina #InternetofFood @RuralHub https://t.co/KMS3znLi0a,117,263,2,7,80,3,1
7.18428E+17,CropDiagnosis,RT @finodexproject: #FIWARE #technology on #agriculture helps @CropDiagnosis mobile application make the difference in #pest management,97,127,1,16,120,4,0
7.18428E+17,Matthieu H Arnoult,RT @danzim13: Climate-Smart #Agriculture Plan: A guide to scaling CSA by @CGIAR https://t.co/hQ1zQJr91u,43,459,10,13,91,1,1
7.18428E+17,FAO statistics,7 free e-learning on #food #agriculture ##foodsecurity courses to bookmark https://t.co/2Tft5IMHax,36374,3210,0,11,88,3,1
7.18429E+17,Maggie,Cuba's #sustainable #agriculture at risk in US diplomatic thaw - The Ecologist https://t.co/30wjxArCe3,3091,979,0,13,90,2,1
